Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-05-06T21:09:14.998Z","","","Included","claude-opus-4-7-thinking-max","Yes","42879","11","227628","1793","272311","Included"
"2026-05-06T20:55:00.596Z","","","Included","claude-4.6-sonnet-max-thinking","Yes","58239","1336","121730","2816","184121","Included"
"2026-05-06T20:47:07.249Z","","","Included","gpt-5.5-extra-high","Yes","0","14824","10238","938","26000","Included"
"2026-05-06T19:18:43.795Z","","","Included","claude-opus-4-7-thinking-max","Yes","194141","1040","2564","3497","201242","Included"
"2026-05-06T19:06:01.294Z","","","Included","claude-opus-4-7-thinking-max","Yes","188783","1267","2592","8098","200740","Included"
"2026-05-06T18:44:14.456Z","","","Included","claude-opus-4-7-thinking-max","Yes","187636","5140","8381738","54698","8629212","Included"
"2026-05-06T18:28:50.708Z","","","Included","claude-opus-4-7-thinking-max","Yes","245812","49","6765114","47569","7058544","Included"
"2026-05-06T17:36:58.358Z","","","Included","claude-opus-4-7-thinking-max","Yes","18917","1195","491832","6030","517974","Included"
"2026-05-06T17:35:45.350Z","","","Included","claude-opus-4-7-thinking-max","Yes","48181","15","349690","2511","400397","Included"
"2026-05-04T19:35:01.492Z","","","Included","claude-opus-4-7-thinking-max","Yes","202292","1164","992617","9027","1205100","Included"
"2026-05-04T19:23:10.042Z","","","Included","claude-opus-4-7-thinking-max","Yes","1285","532","574565","1798","578180","Included"
"2026-05-04T19:20:13.711Z","","","Included","claude-opus-4-7-thinking-max","Yes","15806","13","1551912","9602","1577333","Included"
"2026-05-04T18:53:55.172Z","","","Included","claude-opus-4-7-thinking-max","Yes","377213","1542","1114708","8392","1501855","Included"
"2026-05-04T18:42:24.471Z","","","Included","claude-opus-4-7-thinking-max","Yes","36534","1960","2655051","19049","2712594","Included"
"2026-05-04T18:34:35.185Z","","","Included","claude-opus-4-7-thinking-max","Yes","145159","3661","3735570","23673","3908063","Included"
"2026-05-04T18:30:55.092Z","","","Included","claude-opus-4-7-thinking-max","Yes","96263","1288","528082","12272","637905","Included"
"2026-05-04T18:30:01.475Z","","","Included","composer-2-fast","Yes","0","0","0","0","0","Included"
"2026-05-04T18:27:32.920Z","","","Included","composer-2-fast","Yes","0","19293","1266213","15580","1301086","Included"
"2026-05-04T18:25:37.618Z","","","Included","composer-2-fast","Yes","0","96293","306704","3750","406747","Included"
"2026-05-04T18:11:41.520Z","","","Included","composer-2-fast","Yes","0","82565","1988334","12972","2083871","Included"
"2026-05-04T18:08:03.347Z","","","Included","claude-opus-4-7-thinking-max","Yes","90329","1127","343850","14351","449657","Included"
"2026-05-04T18:06:52.689Z","","","Included","claude-opus-4-7-thinking-max","Yes","73393","1484","34225","5438","114540","Included"
"2026-05-04T16:35:21.690Z","","","Included","claude-opus-4-7-thinking-max","Yes","599763","1595","1373394","17797","1992549","Included"
"2026-05-04T16:34:06.092Z","","","Included","claude-opus-4-7-thinking-max","Yes","408151","10","240516","2478","651155","Included"
"2026-05-04T16:34:01.655Z","","","Errored, No Charge","claude-opus-4-7-thinking-max","Yes","0","0","0","0","0","-"
"2026-05-04T16:19:43.662Z","","","Included","claude-opus-4-7-thinking-max","Yes","1688343","3463","2360867","33403","4086076","Included"
"2026-05-04T16:12:10.726Z","","","Included","composer-2-fast","Yes","0","502470","2718","7573","512761","Included"
